"","x"
"SS3_MAF_leo180223_p6_F10_S70","G1"
"SS3_MAF_leo180223_p6_G01_S73","G2M"
"SS3_MAF_leo180223_p6_G05_S77","G2M"
"SS3_MAF_leo180223_p6_F05_S65","G1"
"SS3_MAF_leo180223_p6_G03_S75","G1"
"SS3_MAF_leo180223_p6_E06_S54","G1"
"SS3_MAF_leo180223_p6_G07_S79","G1"
"SS3_MAF_leo180223_p6_G09_S81","G1"
"SS3_MAF_leo180223_p6_G11_S83","S"
"SS3_MAF_leo180223_p6_D08_S44","G1"
"SS3_MAF_leo180223_p6_H07_S91","G1"
"SS3_MAF_leo180223_p6_H09_S93","G1"
"SS3_MAF_leo180223_p6_H11_S95","G1"
"SS3_MAF_leo180223_p6_G06_S78","G1"
"SS3_MAF_leo180223_p6_E12_S60","G1"
"SS3_MAF_leo180223_p4_S101","S"
"SS3_MAF_leo180223_p4_S102","G1"
"SS3_MAF_leo180223_p4_S104","G2M"
"SS3_MAF_leo180223_p4_S108","G1"
"SS3_MAF_leo180223_p4_S105","G1"
"SS3_MAF_leo180223_p4_S106","G1"
"SS3_MAF_leo180223_p6_D10_S46","G1"
"SS3_MAF_leo180223_p4_S107","G1"
"SS3_MAF_leo180223_p6_F06_S66","G1"
"SS3_MAF_leo180223_p6_E08_S56","G1"
"SS3_MAF_leo180223_p6_H08_S92","G1"
"SS3_MAF_leo180223_p6_H10_S94","S"
"SS3_MAF_leo180223_p4_S109","G1"
"SS3_MAF_leo180223_p6_G04_S76","G1"
"SS3_MAF_leo180223_p4_S112","G1"
"SS3_MAF_leo180223_p4_S111","S"
"SS3_MAF_leo180223_p4_S113","G1"
"SS3_MAF_leo180223_p6_E02_S50","G1"
"SS3_MAF_leo180223_p4_S114","G1"
"SS3_MAF_leo180223_p4_S115","G1"
"SS3_MAF_leo180223_p4_S117","G1"
"SS3_MAF_leo180223_p4_S116","G2M"
"SS3_MAF_leo180223_p4_S118","G1"
"SS3_MAF_leo180223_p4_S119","G1"
"SS3_MAF_leo180223_p4_S123","S"
"SS3_MAF_leo180223_p4_S121","G1"
"SS3_MAF_leo180223_p4_S122","G1"
"SS3_MAF_leo180223_p4_S125","G1"
"SS3_MAF_leo180223_p4_S126","G1"
"SS3_MAF_leo180223_p4_S127","G1"
"SS3_MAF_leo180223_p4_S124","G1"
"SS3_MAF_leo180223_p4_S129","G1"
"SS3_MAF_leo180223_p4_S130","G1"
"SS3_MAF_leo180223_p4_S131","G2M"
"SS3_MAF_leo180223_p4_S132","G1"
"SS3_MAF_leo180223_p4_S134","G1"
"SS3_MAF_leo180223_p4_S133","G1"
"SS3_MAF_leo180223_p4_S135","G1"
"SS3_MAF_leo180223_p4_S139","G2M"
"SS3_MAF_leo180223_p4_S137","S"
"SS3_MAF_leo180223_p4_S138","G2M"
"SS3_MAF_leo180223_p4_S140","G1"
"SS3_MAF_leo180223_p4_S142","G1"
"SS3_MAF_leo180223_p4_S147","G1"
"SS3_MAF_leo180223_p4_S97","G1"
"SS3_MAF_leo180223_p4_S146","S"
"SS3_MAF_leo180223_p4_S145","G1"
"SS3_MAF_leo180223_p4_S148","G2M"
"SS3_MAF_leo180223_p4_S150","G2M"
"SS3_MAF_leo180223_p4_S149","G1"
"SS3_MAF_leo180223_p4_S151","G2M"
"SS3_MAF_leo180223_p4_S153","G1"
"SS3_MAF_leo180223_p4_S156","G1"
"SS3_MAF_leo180223_p4_S154","S"
"SS3_MAF_leo180223_p4_S157","G1"
"SS3_MAF_leo180223_p4_S159","G1"
"SS3_MAF_leo180223_p4_S158","G2M"
"SS3_MAF_leo180223_p4_S161","S"
"SS3_MAF_leo180223_p4_S160","G1"
"SS3_MAF_leo180223_p4_S162","G1"
"SS3_MAF_leo180223_p4_S164","G1"
"SS3_MAF_leo180223_p4_S166","S"
"SS3_MAF_leo180223_p4_S167","G1"
"SS3_MAF_leo180223_p4_S169","G1"
"SS3_MAF_leo180223_p4_S165","G1"
"SS3_MAF_leo180223_p4_S173","G1"
"SS3_MAF_leo180223_p4_S170","G1"
"SS3_MAF_leo180223_p4_S171","S"
"SS3_MAF_leo180223_p4_S177","S"
"SS3_MAF_leo180223_p4_S174","G1"
"SS3_MAF_leo180223_p4_S180","G1"
"SS3_MAF_leo180223_p4_S176","G1"
"SS3_MAF_leo180223_p4_S179","G1"
"SS3_MAF_leo180223_p4_S178","S"
"SS3_MAF_leo180223_p4_S181","G1"
"SS3_MAF_leo180223_p4_S183","G1"
"SS3_MAF_leo180223_p4_S182","G1"
"SS3_MAF_leo180223_p4_S186","S"
"SS3_MAF_leo180223_p4_S187","G2M"
"SS3_MAF_leo180223_p4_S191","G2M"
"SS3_MAF_leo180223_p4_S185","G1"
"SS3_MAF_leo180223_p4_S189","G1"
"SS3_MAF_leo180223_p4_S188","G1"
"SS3_MAF_leo180223_p4_S190","G1"
"SS3_MAF_leo180223_p4_S98","G1"
"SS3_MAF_leo180223_p4_S99","G1"
