,SS3_MAF_Leo171129_p2_S18,SS3_MAF_Leo171129_p2_S2,SS3_MAF_Leo171129_p2_S45,SS3_MAF_Leo171129_p2_S67,SS3_MAF_Leo171129_p2_S78,SS3_MAF_Leo171129_p2_S80,SS3_MAF_Leo171129_p2_S86,SS3_MAF_Leo171129_p2_S93,SS3_MAF_leo180223_p6_A02_S2,SS3_MAF_leo180223_p6_B03_S15,SS3_MAF_leo180223_p6_D01_S37,SS3_MAF_leo180223_p6_C06_S30,SS3_MAF_leo180223_p6_D04_S40,SS3_MAF_leo180223_p6_E05_S53,SS3_MAF_leo180223_p6_G11_S83,SS3_MAF_leo180223_p4_S101,SS3_MAF_leo180223_p6_H10_S94,SS3_MAF_leo180223_p4_S111,SS3_MAF_leo180223_p4_S123,SS3_MAF_leo180223_p4_S137,SS3_MAF_leo180223_p4_S146,SS3_MAF_leo180223_p4_S154,SS3_MAF_leo180223_p4_S161,SS3_MAF_leo180223_p4_S166,SS3_MAF_leo180223_p4_S171,SS3_MAF_leo180223_p4_S177,SS3_MAF_leo180223_p4_S178,SS3_MAF_leo180223_p4_S186
Mrpl41,9.0,2.0,7.0,6.0,0.0,8.0,0.0,0.0,7.0,8.0,7.0,6.0,2.0,2.0,1.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,11.0,3.0,1.0,7.0
Mrpl42,20.0,21.0,8.0,9.0,18.0,16.0,19.0,22.0,18.0,16.0,18.0,19.0,10.0,13.0,10.0,3.0,12.0,6.0,18.0,9.0,4.0,11.0,6.0,2.0,7.0,16.0,6.0,20.0
Mrpl43,14.0,4.0,6.0,1.0,15.0,1.0,1.0,22.0,7.0,1.0,2.0,0.0,19.0,7.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,10.0,3.0
Mrpl44,0.0,0.0,0.0,0.0,,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,,2.0
Mrpl45,1.0,0.0,1.0,1.0,2.0,3.0,6.0,3.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,4.0,2.0,6.0,0.0,7.0,2.0,5.0,5.0,4.0,3.0,3.0
Mrpl46,2.0,5.0,9.0,3.0,4.0,8.0,17.0,3.0,8.0,4.0,3.0,7.0,3.0,3.0,5.0,0.0,4.0,2.0,2.0,8.0,1.0,9.0,5.0,2.0,4.0,4.0,7.0,6.0
Mrpl47,10.0,8.0,6.0,3.0,5.0,3.0,0.0,15.0,,4.0,12.0,3.0,3.0,5.0,6.0,2.0,4.0,1.0,3.0,4.0,1.0,6.0,,3.0,6.0,5.0,5.0,4.0
Mrpl48,3.0,3.0,1.0,0.0,,10.0,,4.0,5.0,0.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,4.0,5.0,2.0,4.0,2.0,4.0,1.0
Mrpl50,10.0,,4.0,8.0,25.0,8.0,14.0,,0.0,1.0,1.0,9.0,3.0,0.0,0.0,6.0,2.0,,7.0,9.0,,4.0,1.0,5.0,5.0,0.0,6.0,1.0
Mrpl51,0.0,,1.0,0.0,7.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0
Mrpl52,6.0,12.0,17.0,,14.0,2.0,0.0,4.0,4.0,11.0,6.0,4.0,20.0,8.0,6.0,2.0,7.0,4.0,11.0,12.0,11.0,16.0,3.0,16.0,0.0,5.0,9.0,4.0
Mrpl53,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
