,SS3_MAF_Leo171129_p2_S1,SS3_MAF_Leo171129_p2_S22,SS3_MAF_Leo171129_p2_S26,SS3_MAF_Leo171129_p2_S28,SS3_MAF_Leo171129_p2_S30,SS3_MAF_Leo171129_p2_S32,SS3_MAF_Leo171129_p2_S55,SS3_MAF_Leo171129_p2_S5,SS3_MAF_Leo171129_p2_S6,SS3_MAF_Leo171129_p2_S76,SS3_MAF_Leo171129_p2_S81,SS3_MAF_Leo171129_p2_S94,SS3_MAF_Leo171129_p2_S9,SS3_MAF_leo180223_p6_A09_S9,SS3_MAF_leo180223_p6_B05_S17,SS3_MAF_leo180223_p6_A05_S5,SS3_MAF_leo180223_p6_C04_S28,SS3_MAF_leo180223_p6_D06_S42,SS3_MAF_leo180223_p6_G01_S73,SS3_MAF_leo180223_p6_G05_S77,SS3_MAF_leo180223_p4_S104,SS3_MAF_leo180223_p4_S116,SS3_MAF_leo180223_p4_S131,SS3_MAF_leo180223_p4_S139,SS3_MAF_leo180223_p4_S138,SS3_MAF_leo180223_p4_S148,SS3_MAF_leo180223_p4_S150,SS3_MAF_leo180223_p4_S151,SS3_MAF_leo180223_p4_S158,SS3_MAF_leo180223_p4_S187,SS3_MAF_leo180223_p4_S191
C1ql3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
C1qtnf1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
C1qtnf2,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0
C1qtnf3,0.0,0.0,6.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
C1qtnf6,,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,6.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0
C1qtnf7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
C1ra,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
C1rl,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C230052I12Rik,,2.0,6.0,0.0,2.0,3.0,0.0,,0.0,4.0,0.0,1.0,11.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0
C230091D08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C2cd2,0.0,2.0,0.0,1.0,,1.0,0.0,0.0,6.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,2.0,0.0
C2cd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C330018D20Rik,0.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C330027C09Rik,0.0,1.0,3.0,,3.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,,3.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0
C3ar1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C430049B03Rik,0.0,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C530008M17Rik,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
C5ar1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
C630043F03Rik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C77080,0.0,0.0,2.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,1.0,0.0,0.0
C78339,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
C87436,0.0,0.0,0.0,,0.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C920006O11Rik,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cab39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,,1.0,1.0,1.0,1.0,,0.0,,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,2.0,1.0,,
Cab39l,,0.0,0.0,1.0,,1.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0
Cabin1,,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0
Cables1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cables2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Cabyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cachd1,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
